sample_id,query,split,generated_code
20836778,What's the purse hanging from?,testdev,"
    image_patch = ImagePatch(image)
    purse_patches = image_patch.find(""purse"")
    # Question assumes only one purse patch
    if len(purse_patches) == 0:
        # If no purse is found, query the image directly
        return image_patch.simple_query(""What's the purse hanging from?"")
    for purse_patch in purse_patches:
        if purse_patch.verify_property(""purse"", ""hanging""):
            return purse_patch.simple_query(""What's the purse hanging from?"") # crop would include the hanging so keep it in the query
    # If no purse is hanging, pick the first purse
    return purse_patches[0].simple_query(""What's the purse hanging from?"")"
201235833,What is that woman doing?,testdev,"
    image_patch = ImagePatch(image)
    woman_patches = image_patch.find(""woman"")
    # Question assumes only one woman patch
    if len(woman_patches) == 0:
        # If no woman is found, query the image directly
        return image_patch.simple_query(""What is that woman doing?"")
    return woman_patches[0].simple_query(""What is that woman doing?"")"
201616041,Is the rug on the right side or on the left of the photo?,testdev,"
    image_patch = ImagePatch(image)
    rug_patches = image_patch.find(""rug"")
    # Question assumes only one rug patch
    if len(rug_patches) == 0:
        # If no rug is found, query the image directly
        return image_patch.simple_query(""Is the rug on the right side or on the left of the photo?"")
    rug_patch = rug_patches[0]
    if rug_patch.horizontal_center > image_patch.horizontal_center:
        return ""right""
    else:
        return ""left"""
20711603,What is the stuffed bear in front of?,testdev,"
    image_patch = ImagePatch(image)
    stuffed_bear_patches = image_patch.find(""stuffed bear"")
    # Question assumes only one stuffed bear patch
    if len(stuffed_bear_patches) == 0:
        # If no stuffed bear is found, query the image directly
        return image_patch.simple_query(""What is the stuffed bear in front of?"")
    return stuffed_bear_patches[0].simple_query(""What is the stuffed bear in front of?"")"
20861165,Is the tire that looks dark round and old?,testdev,"
    image_patch = ImagePatch(image)
    tire_patches = image_patch.find(""tire"")
    # Question assumes only one tire patch
    if len(tire_patches) == 0:
        # If no tire is found, query the image directly
        return image_patch.simple_query(""Is the tire that looks dark round and old?"")
    for tire_patch in tire_patches:
        if tire_patch.verify_property(""tire"", ""round"") and tire_patch.verify_property(""tire"", ""old""):
            return ""yes""
    return ""no"""
20511405,Which kind of aircraft is it?,testdev,"
    image_patch = ImagePatch(image)
    aircraft_patches = image_patch.find(""aircraft"")
    # Question assumes only one aircraft patch
    if len(aircraft_patches) == 0:
        # If no aircraft is found, query the image directly
        return image_patch.simple_query(""Which kind of aircraft is it?"")
    return aircraft_patches[0].simple_query(""Which kind of aircraft is it?"")"
201616124,Is the porcelain toilet behind a rug?,testdev,"
    image_patch = ImagePatch(image)
    porcelain_toilet_patches = image_patch.find(""porcelain toilet"")
    # Question assumes only one porcelain toilet patch
    if len(porcelain_toilet_patches) == 0:
        # If no porcelain toilet is found, query the image directly
        return image_patch.simple_query(""Is the porcelain toilet behind a rug?"")
    for porcelain_toilet_patch in porcelain_toilet_patches:
        rug_patches = image_patch.find(""rug"")
        for rug_patch in rug_patches:
            if rug_patch.horizontal_center > porcelain_toilet_patch.horizontal_center:
                return ""yes""
    return ""no"""
201676333,She is sitting on what?,testdev,"
    image_patch = ImagePatch(image)
    return image_patch.simple_query(""She is sitting on what?"")"
201175233,Is the bottle to the left or to the right of the cat?,testdev,"
    image_patch = ImagePatch(image)
    bottle_patches = image_patch.find(""bottle"")
    # Question assumes only one bottle patch
    if len(bottle_patches) == 0:
        # If no bottle is found, query the image directly
        return image_patch.simple_query(""Is the bottle to the left or to the right of the cat?"")
    for bottle_patch in bottle_patches:
        cat_patches = image_patch.find(""cat"")
        for cat_patch in cat_patches:
            if bottle_patch.horizontal_center < cat_patch.horizontal_center:
                return ""left""
            else:
                return ""right""
    # If no cat is found, query the image directly
    return image_patch.simple_query(""Is the bottle to the left or to the right of the cat?"")"
20341099,Is there a fire hydrant on the grass?,testdev,"
    image_patch = ImagePatch(image)
    fire_hydrant_patches = image_patch.find(""fire hydrant"")
    # Question assumes only one fire hydrant patch
    if len(fire_hydrant_patches) == 0:
        # If no fire hydrant is found, query the image directly
        return image_patch.simple_query(""Is there a fire hydrant on the grass?"")
    for fire_hydrant_patch in fire_hydrant_patches:
        if fire_hydrant_patch.vertical_center < image_patch.vertical_center:
            return ""yes""
    return ""no"""
201757771,Which kind of device is it?,testdev,"
    image_patch = ImagePatch(image)
    device_patches = image_patch.find(""device"")
    # Question assumes only one device patch
    if len(device_patches) == 0:
        # If no device is found, query the image directly
        return image_patch.simple_query(""Which kind of device is it?"")
    return device_patches[0].simple_query(""Which kind of device is it?"")"
201301840,Is the ground smooth or rough?,testdev,"
    image_patch = ImagePatch(image)
    return image_patch.simple_query(""Is the ground smooth or rough?"")"
20710140,Is the sky cloudy and blue?,testdev,"
    image_patch = ImagePatch(image)
    sky_patches = image_patch.find(""sky"")
    # Question assumes only one sky patch
    if len(sky_patches) == 0:
        # If no sky is found, query the image directly
        return image_patch.simple_query(""Is the sky cloudy and blue?"")
    return sky_patches[0].simple_query(""Is the sky cloudy and blue?"")"
2053501,Is the motorcycle made of the same material as the streetlight?,testdev,"
    image_patch = ImagePatch(image)
    motorcycle_patches = image_patch.find(""motorcycle"")
    # Question assumes only one motorcycle patch
    if len(motorcycle_patches) == 0:
        # If no motorcycle is found, query the image directly
        return image_patch.simple_query(""Is the motorcycle made of the same material as the streetlight?"")
    for motorcycle_patch in motorcycle_patches:
        streetlight_patches = image_patch.find(""streetlight"")
        for streetlight_patch in streetlight_patches:
            if motorcycle_patch.horizontal_center == streetlight_patch.horizontal_center and motorcycle_patch.vertical_center == streetlight_patch.vertical_center:
                return ""yes""
    return ""no"""
20636773,Are the cutting board and the stove made of the same material?,testdev,"
    image_patch = ImagePatch(image)
    cutting_board_patches = image_patch.find(""cutting board"")
    # Question assumes only one cutting board patch
    if len(cutting_board_patches) == 0:
        # If no cutting board is found, query the image directly
        return image_patch.simple_query(""Are the cutting board and the stove made of the same material?"")
    cutting_board_patch = cutting_board_patches[0]
    stove_patches = image_patch.find(""stove"")
    # Question assumes only one stove patch
    if len(stove_patches) == 0:
        # If no stove is found, query the image directly
        return image_patch.simple_query(""Are the cutting board and the stove made of the same material?"")
    stove_patch = stove_patches[0]
    return bool_to_yes"
20863580,Do you see any palm trees behind the gray building?,testdev,"
    image_patch = ImagePatch(image)
    palm_tree_patches = image_patch.find(""palm tree"")
    # Question assumes only one palm tree patch
    if len(palm_tree_patches) == 0:
        # If no palm tree is found, query the image directly
        return image_patch.simple_query(""Do you see any palm trees behind the gray building?"")
    for palm_tree_patch in palm_tree_patches:
        gray_building_patches = image_patch.find(""gray building"")
        for gray_building_patch in gray_building_patches:
            if gray_building_patch.horizontal_center > palm_tree_patch.horizontal_center:
                return ""yes""
    return ""no"""
20647249,Are the white pants short or long?,testdev,"
    image_patch = ImagePatch(image)
    pants_patches = image_patch.find(""pants"")
    # Question assumes only one pants patch
    if len(pants_patches) == 0:
        # If no pants are found, query the image directly
        return image_patch.simple_query(""Are the white pants short or long?"")
    for pants_patch in pants_patches:
        if pants_patch.vertical_center < image_patch.vertical_center:
            return ""short""
        else:
            return ""long"""
201410972,Is the mirror made of the same material as the tool?,testdev,"
    image_patch = ImagePatch(image)
    mirror_patches = image_patch.find(""mirror"")
    # Question assumes only one mirror patch
    if len(mirror_patches) == 0:
        # If no mirror is found, query the image directly
        return image_patch.simple_query(""Is the mirror made of the same material as the tool?"")
    for mirror_patch in mirror_patches:
        tool_patches = image_patch.find(""tool"")
        for tool_patch in tool_patches:
            if mirror_patch.horizontal_center == tool_patch.horizontal_center and mirror_patch.vertical_center == tool_patch.vertical_center:
                return ""yes""
    return ""no"""
20611520,What is the dessert that is the same shape as the large container called?,testdev,"
    image_patch = ImagePatch(image)
    large_container_patches = image_patch.find(""large container"")
    # Question assumes only one large container patch
    if len(large_container_patches) == 0:
        # If no large container is found, query the image directly
        return image_patch.simple_query(""What is the dessert that is the same shape as the large container called?"")
    large_container_patch = large_container_patches[0]
    dessert_patches = image_patch.find(""dessert"")
    # Question assumes only one dessert patch
    if len(dessert_patches) == 0:
        # If no dessert is found, query the image directly
        return image_patch.simple_query(""What is the dessert that is the same shape as the large container called?"")
    dessert_patch = dessert_patches[0]
    if dessert_"
2097953,"What material is the flat desk in front of the curtain, plastic or wood?",testdev,"
    image_patch = ImagePatch(image)
    flat_patches = image_patch.find(""flat"")
    # Question assumes only one flat patch
    if len(flat_patches) == 0:
        # If no flat is found, query the image directly
        return image_patch.simple_query(""What material is the flat desk in front of the curtain, plastic or wood?"")
    for flat_patch in flat_patches:
        if flat_patch.verify_property(""flat"", ""plastic""):
            return ""plastic""
        if flat_patch.verify_property(""flat"", ""wood""):
            return ""wood""
    return ""plastic"""
2012777,How big is the donut the person holds?,testdev,"
    image_patch = ImagePatch(image)
    donut_patches = image_patch.find(""donut"")
    # Question assumes only one donut patch
    if len(donut_patches) == 0:
        # If no donut is found, query the image directly
        return image_patch.simple_query(""How big is the donut the person holds?"")
    return donut_patches[0].simple_query(""How big is the donut the person holds?"")"
20171196,What cooking utensil is to the left of the scissors?,testdev,"
    image_patch = ImagePatch(image)
    scissors_patches = image_patch.find(""scissors"")
    # Question assumes only one scissors patch
    if len(scissors_patches) == 0:
        # If no scissors is found, query the image directly
        return image_patch.simple_query(""What cooking utensil is to the left of the scissors?"")
    for scissors_patch in scissors_patches:
        cooking_utensil_patches = image_patch.find(""cooking utensil"")
        for cooking_utensil_patch in cooking_utensil_patches:
            if cooking_utensil_patch.horizontal_center < scissors_patch.horizontal_center:
                return cooking_utensil_patch.simple_query(""What cooking utensil is to the left of the scissors"
201795584,What is the animal that the male person looks at?,testdev,"
    image_patch = ImagePatch(image)
    male_patches = image_patch.find(""male"")
    # Question assumes only one male patch
    if len(male_patches) == 0:
        # If no male is found, query the image directly
        return image_patch.simple_query(""What is the animal that the male person looks at?"")
    male_patch = male_patches[0]
    animal_patches = image_patch.find(""animal"")
    # Question assumes only one animal patch
    if len(animal_patches) == 0:
        # If no animal is found, query the image directly
        return image_patch.simple_query(""What is the animal that the male person looks at?"")
    for animal_patch in animal_patches:
        if animal_patch.horizontal_center > male_patch.horizontal_center:
            return animal_patch.simple_query(""What is the"
202073385,What is higher than the trees?,testdev,"
    image_patch = ImagePatch(image)
    trees_patches = image_patch.find(""trees"")
    # Question assumes only one trees patch
    if len(trees_patches) == 0:
        # If no trees are found, query the image directly
        return image_patch.simple_query(""What is higher than the trees?"")
    for trees_patch in trees_patches:
        if trees_patch.vertical_center < image_patch.vertical_center:
            return ""trees""
    return ""sky"""
201174984,What do both the bottle cap and the bottle have in common?,testdev,"
    image_patch = ImagePatch(image)
    bottle_cap_patches = image_patch.find(""bottle cap"")
    bottle_patches = image_patch.find(""bottle"")
    # Question assumes only one bottle cap patch and one bottle patch
    if len(bottle_cap_patches) == 0 or len(bottle_patches) == 0:
        # If no bottle cap or bottle is found, query the image directly
        return image_patch.simple_query(""What do both the bottle cap and the bottle have in common?"")
    for bottle_cap_patch in bottle_cap_patches:
        for bottle_patch in bottle_patches:
            if bottle_cap_patch.vertical_center == bottle_patch.vertical_center:
                return ""the same color""
    return ""the same shape"""
20667937,What is the device that the man to the right of the pillow is holding?,testdev,"
    image_patch = ImagePatch(image)
    man_patches = image_patch.find(""man"")
    # Question assumes only one man patch
    if len(man_patches) == 0:
        # If no man is found, query the image directly
        return image_patch.simple_query(""What is the device that the man to the right of the pillow is holding?"")
    man_patch = man_patches[0]
    for pillow_patch in image_patch.find(""pillow""):
        if pillow_patch.horizontal_center > man_patch.horizontal_center:
            device_patches = image_patch.find(""device"")
            # Question assumes only one device patch
            if len(device_patches) == 0:
                # If no device is found, query the image directly
                return image_patch.simple_query(""What is the device that the man to the right of the pillow"
201623853,Do you see a cabinet above the floor the freezer is on?,testdev,"
    image_patch = ImagePatch(image)
    freezer_patches = image_patch.find(""freezer"")
    # Question assumes only one freezer patch
    if len(freezer_patches) == 0:
        # If no freezer is found, query the image directly
        return image_patch.simple_query(""Do you see a cabinet above the floor the freezer is on?"")
    for freezer_patch in freezer_patches:
        cabinet_patches = image_patch.find(""cabinet"")
        for cabinet_patch in cabinet_patches:
            if cabinet_patch.vertical_center < freezer_patch.vertical_center:
                return ""yes""
    return ""no"""
201873677,Does the flag that is to the left of the bucket have large size and blue color?,testdev,"
    image_patch = ImagePatch(image)
    flag_patches = image_patch.find(""flag"")
    # Question assumes only one flag patch
    if len(flag_patches) == 0:
        # If no flag is found, query the image directly
        return image_patch.simple_query(""Does the flag that is to the left of the bucket have large size and blue color?"")
    flag_patch = flag_patches[0]
    bucket_patches = image_patch.find(""bucket"")
    # Question assumes only one bucket patch
    if len(bucket_patches) == 0:
        # If no bucket is found, query the image directly
        return image_patch.simple_query(""Does the flag that is to the left of the bucket have large size and blue color?"")
    bucket_patch = bucket_patches[0]
    if flag_patch.horizontal_center < bucket_patch.horizontal_center:
"
