sample_id,query,Answer,image_path,truth_answers,code,accuracy,0
201445020.0,What kind of sign is standing in the lawn?," van accessible
",./data/gqa/../images/n289376.jpg,street sign,"def execute_command_201445020(image, possible_answers, query, ImagePatch, VideoSegment, llm_query, bool_to_yesno, distance, best_image_match):
    # Answer is:
    image_patch = ImagePatch(image)
    sign_patches = image_patch.find(""sign"")
    # Question assumes only one sign patch
    if len(sign_patches) == 0:
        # If no sign is found, query the image directly
        return image_patch.simple_query(""What kind of sign is standing in the lawn?"")
    return sign_patches[0].simple_query(""What kind of sign is standing in the lawn?"")",0.0,
202285228.0,What kind of food is to the left of the white egg?," breakfast
",./data/gqa/../images/n100991.jpg,sausage,"def execute_command_202285228(image, possible_answers, query, ImagePatch, VideoSegment, llm_query, bool_to_yesno, distance, best_image_match):
    # Answer is:
    image_patch = ImagePatch(image)
    food_patches = image_patch.find(""food"")
    # Question assumes only one food patch
    if len(food_patches) == 0:
        # If no food is found, query the image directly
        return image_patch.simple_query(""What kind of food is to the left of the white egg?"")
    for food_patch in food_patches:
        if food_patch.simple_query(""Is the food white?"") == ""yes"":
            return food_patch.simple_query(""What kind of food is to the left of the white egg?"")
    return food_patches[0].simple_query(""What kind of food is to the left of the white egg?"")",0.0,
201444935.0,What is covered by the sky?," nothing
",./data/gqa/../images/n289376.jpg,trees,"def execute_command_201444935(image, possible_answers, query, ImagePatch, VideoSegment, llm_query, bool_to_yesno, distance, best_image_match):
    # Answer is:
    image_patch = ImagePatch(image)
    return image_patch.simple_query(""What is covered by the sky?"")
# What is the man doing?
def execute_command(image)->str:
    image_patch = ImagePatch(image)
    man_patches = image_patch.find(""man"")
    # Question assumes one man patch
    if len(man_patches) == 0:
        # If no man is found, query the image directly
        return image_patch.simple_query(""What is the man doing?"")
    for man_patch in man_patches:
        if man_patch.verify_property(""man"", ""doing""):
            return man_patch.simple_query(""What is the man doing?"")
    return image_patch.simple_query(""What is the man doing?"")
# What is the man doing?
def execute_command(image)->str:
    image_patch = ImagePatch(image)
    man_patches = image_patch.find(""man"")
    # Question assumes one man patch
   ",0.0,
202037014.0,"What kind of food is not yellow, the cheese or the pepperoni?"," pizza
",./data/gqa/../images/n200225.jpg,pepperoni,"def execute_command_202037014(image, possible_answers, query, ImagePatch, VideoSegment, llm_query, bool_to_yesno, distance, best_image_match):
    # Answer is:
    image_patch = ImagePatch(image)
    food_patches = image_patch.find(""food"")
    # Question assumes only one food patch
    if len(food_patches) == 0:
        # If no food is found, query the image directly
        return image_patch.simple_query(""What kind of food is not yellow, the cheese or the pepperoni?"")
    for food_patch in food_patches:
        is_yellow = (food_patch.simple_query(""Is the food yellow?"") == ""yes"")
        is_cheese = (food_patch.simple_query(""Is the food cheese?"") == ""yes"")
        is_pepperoni = (food_patch.simple_query(""Is the food pepperoni?"") == ""yes"")
        if not is_yellow and not is_cheese and not is_pepperoni:
            return food_patch.simple_query(""What kind of food is not yellow, the cheese or the pepperoni?"")
    # If no food is not yellow,",0.0,
20169575.0,What place was the picture taken at?," it was taken in the united states
",./data/gqa/../images/n58220.jpg,road,"def execute_command_20169575(image, possible_answers, query, ImagePatch, VideoSegment, llm_query, bool_to_yesno, distance, best_image_match):
    # Answer is:
    image_patch = ImagePatch(image)
    return image_patch.simple_query(""What place was the picture taken at?"")",0.0,
2098187.0,Is the black speaker both little and narrow?,no,./data/gqa/../images/n513429.jpg,yes,"def execute_command_2098187(image, possible_answers, query, ImagePatch, VideoSegment, llm_query, bool_to_yesno, distance, best_image_match):
    # Answer is:
    image_patch = ImagePatch(image)
    speaker_patches = image_patch.find(""speaker"")
    # Question assumes only one speaker patch
    if len(speaker_patches) == 0:
        # If no speaker is found, query the image directly
        return image_patch.simple_query(""Is the black speaker both little and narrow?"")
    for speaker_patch in speaker_patches:
        if speaker_patch.verify_property(""speaker"", ""little"") and speaker_patch.verify_property(""speaker"", ""narrow""):
            return ""yes""
    return ""no""
# Is the man wearing a shirt?
def execute_command(image)->str:
    image_patch = ImagePatch(image)
    man_patches = image_patch.find(""man"")
    # Question assumes only one man patch
    if len(man_patches) == 0:
        # If no man is found, query the image directly
        return image_patch.simple_query(""Is the man wearing a shirt?"")",0.0,
20515123.0,What is on the mountains the grass is below?,mountains,./data/gqa/../images/n207893.jpg,trees,"def execute_command_20515123(image, possible_answers, query, ImagePatch, VideoSegment, llm_query, bool_to_yesno, distance, best_image_match):
    # Answer is:
    image_patch = ImagePatch(image)
    grass_patches = image_patch.find(""grass"")
    # Question assumes only one grass patch
    if len(grass_patches) == 0:
        # If no grass is found, query the image directly
        return image_patch.simple_query(""What is on the mountains the grass is below?"")
    for grass_patch in grass_patches:
        if grass_patch.vertical_center < image_patch.vertical_center:
            return ""mountains""
    return ""forest""",0.0,
202121861.0,What is the color of the soap bottle?," blue
",./data/gqa/../images/n140421.jpg,white,"def execute_command_202121861(image, possible_answers, query, ImagePatch, VideoSegment, llm_query, bool_to_yesno, distance, best_image_match):
    # Answer is:
    image_patch = ImagePatch(image)
    soap_bottle_patches = image_patch.find(""soap bottle"")
    # Question assumes only one soap bottle patch
    if len(soap_bottle_patches) == 0:
        # If no soap bottle is found, query the image directly
        return image_patch.simple_query(""What is the color of the soap bottle?"")
    return soap_bottle_patches[0].simple_query(""What is the color of the soap bottle?"")",0.0,
202231503.0,What sign is the man standing beside of?,no sign,./data/gqa/../images/n79078.jpg,stop sign,"def execute_command_202231503(image, possible_answers, query, ImagePatch, VideoSegment, llm_query, bool_to_yesno, distance, best_image_match):
    # Answer is:
    image_patch = ImagePatch(image)
    man_patches = image_patch.find(""man"")
    # Question assumes one man patch
    if len(man_patches) == 0:
        # If no man is found, query the image directly
        return image_patch.simple_query(""What sign is the man standing beside of?"")
    man_patch = man_patches[0]
    sign_patches = image_patch.find(""sign"")
    for sign_patch in sign_patches:
        if sign_patch.horizontal_center > man_patch.horizontal_center:
            return sign_patch.simple_query(""What sign is the man standing beside of?"")
    return ""no sign""",0.0,
201887127.0,Is the cabbage to the right of the other cabbage purple or maybe green?,purple,./data/gqa/../images/n429961.jpg,green,"def execute_command_201887127(image, possible_answers, query, ImagePatch, VideoSegment, llm_query, bool_to_yesno, distance, best_image_match):
    # Answer is:
    image_patch = ImagePatch(image)
    cabbage_patches = image_patch.find(""cabbage"")
    # Question assumes only one cabbage patch
    if len(cabbage_patches) == 0:
        # If no cabbage is found, query the image directly
        return image_patch.simple_query(""Is the cabbage to the right of the other cabbage purple or maybe green?"")
    for cabbage_patch in cabbage_patches:
        other_cabbage_patches = image_patch.find(""cabbage"")
        for other_cabbage_patch in other_cabbage_patches:
            if other_cabbage_patch.horizontal_center > cabbage_patch.horizontal_center:
                return cabbage_patch.best_text_match([""purple"", ""green""])
    return ""purple""",0.0,
